
2020-02-01 12:00:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:01:33  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:02:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:03:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:04:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:05:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:06:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:07:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:34  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:46  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:47  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:48  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:49  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:49  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:49  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:52  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:53  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:58  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
